,name,team,position,Games Played,Minutes Per Game,Field Goal Percentage,Free Throw Percentage,Three Pointers Per Game,Rebounds Per Game,Assists Per Game,Assists To Turnover Ratio,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
20,RudyGobert,Min,C,77.0,32.0,Yes,No,No,Yes,No,0.66,No,Yes,No,No
21,StephenCurry,GS,PG,68.0,32.9,No,Yes,Yes,No,Yes,1.93,Yes,No,Yes,Yes
22,DejounteMurray,Atl,"PG,SG",75.0,35.1,No,Yes,No,Yes,Yes,2.54,Yes,No,Yes,Yes
23,JalenBrunson,NY,"PG,SG",78.0,34.9,Yes,Yes,No,No,Yes,4.17,No,No,No,Yes
24,PaulGeorge,LAC,"SF,SG",68.0,35.1,No,Yes,Yes,Yes,Yes,1.46,Yes,No,Yes,Yes
25,AnthonyDavis,LAL,"PF,C",61.0,34.5,Yes,No,No,Yes,No,1.41,Yes,Yes,Yes,Yes
26,JuliusRandle,NY,PF,77.0,36.3,No,Yes,Yes,Yes,Yes,1.5,No,No,Yes,Yes
27,BamAdebayo,Mia,"C,PF",74.0,33.2,Yes,No,No,Yes,Yes,1.59,Yes,Yes,Yes,Yes
28,AnthonyEdwards,Min,"SG,SF",77.0,35.3,No,Yes,Yes,No,Yes,1.44,Yes,No,Yes,Yes
29,JrueHoliday,Mil,"PG,SG",74.0,33.0,Yes,No,Yes,No,Yes,2.54,Yes,No,Yes,Yes
30,ZionWilliamson,NO,PF,66.0,32.9,Yes,No,No,Yes,No,1.34,No,No,Yes,Yes
31,ScottieBarnes,Tor,"PF,SF",76.0,35.8,Yes,No,No,Yes,Yes,2.22,Yes,Yes,No,Yes
32,DariusGarland,Cle,"PG,SG",76.0,34.2,No,Yes,Yes,No,Yes,2.47,Yes,No,Yes,Yes
33,KyrieIrving,Bkn,"PG,SG",60.0,36.2,Yes,Yes,Yes,No,Yes,2.4,Yes,No,Yes,Yes
34,FredVanVleet,Tor,"PG,SG",72.0,37.1,No,Yes,Yes,No,Yes,2.6,Yes,No,Yes,Yes
35,KawhiLeonard,LAC,"SF,PF",61.0,33.9,Yes,Yes,Yes,Yes,Yes,2.26,Yes,No,Yes,Yes
36,EvanMobley,Cle,"PF,C",76.0,34.2,Yes,No,No,Yes,No,1.2,No,Yes,Yes,Yes
37,ShaiGilgeous-Alexander,OKC,"SG,PG",69.0,34.8,No,Yes,Yes,No,Yes,1.82,Yes,Yes,Yes,Yes
38,De'AaronFox,Sac,PG,72.0,34.8,No,No,No,No,Yes,2.13,Yes,No,Yes,Yes
39,CJMcCollum,NO,SG,75.0,33.7,No,No,Yes,No,Yes,2.52,Yes,No,No,Yes
40,DesmondBane,Mem,SG,78.0,34.1,No,Yes,Yes,No,No,1.94,Yes,No,No,Yes
41,AlperenSengun,Hou,C,78.0,31.6,Yes,No,No,Yes,Yes,1.55,Yes,Yes,Yes,No
42,TerryRozier,Cha,"SG,PG",77.0,34.0,No,Yes,Yes,No,Yes,2.69,Yes,No,No,Yes
43,BrandonIngram,NO,"SF,PF",72.0,33.5,No,Yes,Yes,No,Yes,1.89,No,No,Yes,Yes
44,JakobPoeltl,SA,C,76.0,30.5,Yes,No,No,Yes,No,1.8,No,Yes,No,No
